judge_position,pending_cases
"judl. magistrate of first class, bhadrachalam",292
bardoli_addldj court,280
pdm adm court sankarankovil,268
rmdprmsj,268
school tribunal,260
jamnagar_family,259
lakhni taluka,259
civil link court tendukheda district damoh,257
4-additional civil judge and judicial magistrate,257
"spl court for economic offences, bengaluru",255
"iv addl distandsessoins court ftc, nagarkurnool",240
navsari_family,240
iv addl sub judge,240
additional pocso,238
chief judicial cvil magistrate,236
3-district and sessions court,231
6-additional district judge,230
principal district munsiff first class,228
biraul civil division,226
uda-kishunganj civil division,225
piro civil division,225
arwal civil division,224
jcj cum xxvii addl.m m court at maheshwaram,223
1-district and sessions court,223
co-operative court amravati,215
vanthali_addldj court,214
visavadar_addldj court,208
"land grabbing court,salem",202
"judicial mgistrate, sulur",202
v addl. cmm,198
"muncif magistrate courts, warangal",190
wakf board court complex,189
"cj division, sheikhpura",189
j.s.c.c.,181
shahpur patori civil div.,180
vaghaicourt,180
additional fast track court,173
4-additional district judge,172
co-operative court thane,172
gogri civil division,170
mahesana_family,168
"judge, special court, sc and st (poa) act, cuttack",167
"district musif court, virudhunagar",157
spcl - dholpur district hq,151
additional sub court,142
co-operative court raigad-ratnagiri at ratnagiri,140
juvenile board at nanded,138
"co-operative trial court, pune",138
"co-operative appellate court, pune",137
educational tribunal,137
8-additional district and sessions court,136
civil chhabra taluka,130
6-railway ner,124
"judl. ist class magistrate court-i, kottarakkara",122
"stat, ernakulam",120
2-railway ner,118
khergam_taluka,118
"court of civil judge s.d., kandhar dist. nanded",118
co-operative court nanded,114
birpur civil division,113
barsoi civil div.,112
pjcj cum xxv addl.mm at ibrahimpatnam,112
cj - atru taluka,108
rentappl - kota hq,108
"iii metropolitan magistrate, vijayawada",105
1-mm court,105
cj - anta taluka,104
pupri civil division,104
pmc court pune maharashtra,98
svgmmdpdm,98
sr. cj - behror,98
"ec court, coimbatore",94
"inustrial court, chandrapur",89
special court for exclusive trial of cases under s,87
"co-operative court, shrirampur",86
sd - chhipabarod taluka,83
camp court,82
"ii metropolitan magistrate, vijayawada.",81
presiding officer,81
"judicial first class magistrat-v,mattancherry",78
sumbal criminal,76
mahalir neethimandram ftmc tiruvarur,76
glt_cj_estt,76
sogam criminal,75
co-operative appellate court aurangabad,74
civil cases,73
sd sadulsahar taluka,71
special court under n.d.p.s. act,68
principal juvenile court,66
co-operative court aurangabad,64
north 24 pgs jjb,59
juveniel justice board rajnandgaon,58
acd-udaipur district hq,55
maharashtra state co-operative appellate court,54
civil division dehri sub-divisional court,54
"fast track magalir neethimandram(ftmc), udhagamand",54
psmedkgp,53
sr c j nokha court,51
c j division,51
cj - kishanganj taluka,47
special court for atrocities against women,47
acd court,46
chief judicial civil magistrate bani,45
magalir neethi mandram fast track theni,45
civiljudgeesb,42
"co-operative court, ahmednagar",41
chief judicial civil magistrate beerwah,40
print statn_cbi cases_jpr district hq,40
cbi court,39
principal rent,38
judicial 1st class magistrate court2changanacherry,38
sd - shahbad taluka,36
link court pachmari district hoshangabad,36
acd jaipur metro hq,34
3-additional civil judge senior division,32
special judges,32
co-operative court raigad-ratnagiri at alibaug,31
sogam civil,31
acd - kota hq,30
acd-pali district hq,30
12-metropolitan magistrate court,29
acd jodhpur metro hq,29
special sessions court,25
"senior civi judge court, sathupally",23
special court under tnpid act,22
spl magistarte for land grabbing cases,22
"i metropolitan magistrate (municipal), hyderabad.",22
subir_taluka,21
juveniel justice board kawardha,20
"special court, sc and st (poa) act, cuttack",17
establishment of civil judge sr. division (west),17
special court - spe/cbi - ii,15
spl judges court spe and acb cases karimnagar,15
womens court,14
"special court for tnpid act cases, madurai",14
"special court for land grabbing cases, theni",13
magistrate court miryalaguda,12
acd-alwar district hq,12
24 parganas 1st special court alipur,12
prevention of corruption court establishment,11
bhavnagar_alang court,10
"acb court complex,kurnool",10
"tnpid court, coimbatore",9
special court for forest offense cases,8
establishment of civil judge sr. division (south),8
11-cbi court,7
cbi jodhpur metro hq,7
special court for trial of cases under the prevent,6
additional school tribunal,6
principal vacation,6
judical first class magistrat court-iii nedumangad,5
spl. judge for trial of prevention of corruption,5
"bomb blast court, coimbatore",5
"prevention of corruption act court, coimbatore",4
chief judicial civil magistrate awantipora,4
judical first class magistrat court-iv nedumangad,4
8-jmfc,4
7-jmfc,4
"special court for the cases under pc act , ch-104",4
"special court for land grabbing cases, tiruvallur",4
special court for exclusive traial of land grabbin,3
spr_mn_estt,3
special court spe/cbi-i,3
10-jmfc,2
special court for trial of cases under prevention,2
additional special sessions court,2
special nia court spe/cbi 2,2
9-jmfc,2
sumbal civil,2
family-udaipur district hq,2
detroj_taluka,1
dholera_taluka,1
family sawai madhopur hq,1
"land grabbing judge,cuddalore",1
jjb dungarpur district hq,1
"prevention of corruption court establishment, tiruchirappalli",1
special nia court - spe/cbi-1,1
botad_district,1
